date;open;high;low;close
08/11/2017;98.71;116.68;98.05;113.11
09/11/2017;113.56;124.3;107.6;120.85
10/11/2017;120.62;123.23;96.85;109.57
11/11/2017;105.52;127.5;104.0;119.92
12/11/2017;119.41;128.77;107.5;118.28
13/11/2017;118.28;132.0;116.25;122.4
14/11/2017;122.53;125.76;118.53;123.6
15/11/2017;123.53;126.0;118.8;120.72
16/11/2017;120.71;128.77;118.23;119.74
17/11/2017;120.0;127.45;116.7;125.02
18/11/2017;126.0;135.771;123.6;130.0
19/11/2017;131.0;140.0;126.5;129.0
20/11/2017;129.0;139.77;127.98;137.55
21/11/2017;136.5;141.86;130.01;140.3
22/11/2017;140.3;173.93;140.28;166.5
23/11/2017;166.5;174.0;156.0;158.0
24/11/2017;158.0;162.12;152.5;157.56
25/11/2017;157.61;169.7;157.53;168.0
26/11/2017;167.03;167.82;157.02;161.68
27/11/2017;161.8;168.77;157.0;167.47
28/11/2017;167.69;194.99;167.5;194.94
29/11/2017;194.99;205.0;156.23;166.57
30/11/2017;164.74;189.0;151.52;179.29
01/12/2017;177.16;188.2;165.0;185.9
02/12/2017;187.31;195.0;180.0;194.98
03/12/2017;195.0;204.0;188.13;196.94
04/12/2017;196.47;203.79;185.0;203.5
05/12/2017;203.5;249.95;202.5;249.17
06/12/2017;249.19;299.53;248.5;257.11
07/12/2017;257.11;282.6;242.01;255.9
08/12/2017;255.91;275.1;241.1;263.56
09/12/2017;263.8;269.02;245.01;254.65
10/12/2017;254.65;255.9;222.56;239.04
11/12/2017;239.04;270.0;237.6;267.26
12/12/2017;267.26;299.53;267.01;293.01
13/12/2017;293.04;325.0;275.0;291.2
14/12/2017;299.01;330.0;295.0;318.0
15/12/2017;318.0;324.9;291.22;309.45
16/12/2017;309.45;329.5;308.0;326.11
17/12/2017;326.11;357.17;325.11;341.4
18/12/2017;344.75;384.0;325.03;373.59
19/12/2017;371.54;396.0;341.4;366.5
20/12/2017;366.5;469.5;341.32;467.77
21/12/2017;465.46;469.0;373.01;410.0
22/12/2017;410.01;416.26;245.1;345.16
23/12/2017;345.1;410.0;328.96;362.04
24/12/2017;361.0;369.68;300.13;335.05
25/12/2017;336.0;358.83;321.51;337.94
26/12/2017;338.82;379.12;338.35;360.0
